Facility_ID,City,State,County,Total_Admissions,ReadmissionRate,HAI_1_SIR,HAI_2_SIR,HAI_5_SIR,HAI_6_SIR,PSI_3,PSI_6,PSI_8,PSI_9,PSI_10,PSI_11,PSI_12,PSI_13,PSI_14,PSI_15,PSI_90,H_Comp_1,H_Comp_2,H_Comp_3,H_Comp_5,H_Comp_6,H_Comp_7,H_Comp_Cl,H_Comp_Qt,H_Comp_Ov,AMI_TA_PROP,COPD_TA_PROP,HF_TA_PROP,HIPKNEE_TA_PROP,PN_TA_PROP,ED_MEDIAN_VISIT_MINS,ED_LEFT_NOT_SEEN_%,ED_VOLUME,%_SEPSIS_CARE,%_HCWs_FLU_VAX,2018to2020_PCPI,Population_2019,MEDIAN_AGE_TOT
10033,BIRMINGHAM,AL,Jefferson,2672,16.2,0.858,0.574,1.54,0.419,2.2993669999999997,0.196278,0.091955,2.237694,2.0720389999999997,7.4697949999999995,4.910156,5.725878,1.017836,0.712292,1.6865080000000001,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,0.10329341317365269,0.07110778443113773,0.27619760479041916,0.04940119760479042,0.16691616766467066,185,3,very high,57,99,56600.0,658573.0,37.9
10035,CULLMAN,AL,Cullman,841,16.9,0.0,1.323,1.271,0.319,0.572855,0.245854,0.104539,2.335938,1.389332,5.15963,2.6542,5.102526999999999,0.8326629999999999,1.0539479999999999,0.9494299999999999,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,0.11414982164090369,0.27586206896551724,0.5671819262782402,0.13317479191438764,0.5196195005945303,126,,,98,89,41131.666666666664,83768.0,40.9
10036,ANDALUSIA,AL,Covington,335,15.4,,0.808,,0.525,0.350557,0.218804,0.093998,2.470647,,,3.7441370000000003,,0.847189,1.138179,0.9303629999999999,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,,0.5880597014925373,0.7761194029850746,0.2,0.5134328358208955,125,,,,78,36448.0,37049.0,43.4
10039,HUNTSVILLE,AL,Madison,4231,15.3,1.209,0.912,1.081,0.639,0.244493,0.26394,0.12452,2.786355,1.188114,6.9426380000000005,3.65746,5.217696,0.708167,1.201436,0.975107,4.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,0.21744268494445756,0.20018908059560386,0.3264003781611912,0.2739305128811156,0.3436539825100449,174,2,very high,54,86,54352.0,372909.0,38.6
10040,GADSDEN,AL,Etowah,1051,15.4,0.875,0.075,2.171,0.108,0.165206,0.22888200000000003,0.090784,2.3308150000000003,1.184663,5.951405,2.3706650000000002,6.541136,0.9822040000000001,0.9374879999999999,0.895951,2.0,2.0,1.0,1.0,2.0,1.0,2.0,3.0,2.0,0.192197906755471,0.23501427212178877,0.3196955280685062,0.3006660323501427,0.4490960989533777,233,2,high,36,49,38045.0,102268.0,42.0
10046,GADSDEN,AL,Etowah,599,15.1,1.836,0.0,2.967,0.399,0.207722,0.20463699999999999,0.092149,2.421924,2.08911,5.035198,2.4955060000000002,5.103083,0.84155,1.078207,0.868481,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,0.08514190317195326,0.335559265442404,0.4357262103505843,0.13856427378964942,0.46410684474123537,120,2,medium,85,66,38045.0,102268.0,42.0
10049,ENTERPRISE,AL,Coffee,356,16.0,,0.0,,0.495,0.396474,0.222156,0.107196,2.446138,1.406548,4.421144,3.604421,4.712467,1.0021120000000001,1.128095,0.910358,3.0,4.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,,0.33146067415730335,0.24719101123595505,0.5449438202247191,0.3904494382022472,142,2,medium,42,76,43585.666666666664,52342.0,39.4
10055,DOTHAN,AL,Houston,1210,15.2,0.906,1.027,0.0,0.431,0.141519,0.221045,0.101849,2.145412,1.5589620000000002,4.777908,3.383599,4.10457,0.9630350000000001,1.1254819999999999,0.8080229999999999,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,3.0,0.21652892561983472,0.2115702479338843,0.3578512396694215,0.37272727272727274,0.33884297520661155,191,2,high,47,84,44661.0,105882.0,40.0
10056,BIRMINGHAM,AL,Jefferson,1620,14.7,0.595,0.7,0.69,0.489,0.437086,0.186568,0.087148,2.340544,1.564283,5.053192,3.292886,5.807030999999999,0.789791,1.031778,0.9738110000000001,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,0.11049382716049383,0.1345679012345679,0.23333333333333334,0.7679012345679013,0.28888888888888886,155,,,52,76,56600.0,658573.0,37.9
10061,SCOTTSBORO,AL,Jackson,214,15.3,,1.871,,0.24,0.427282,0.266007,0.094984,2.5121599999999997,1.4178899999999999,,3.349297,,0.854606,1.169819,0.9372,,,,,,,,,,,0.705607476635514,0.37383177570093457,0.14953271028037382,0.5233644859813084,162,1,low,53,84,38254.333333333336,51626.0,44.0
